ID,Name,Prompt
1,Captain Wisp,"A cute cartoon ghost named Captain Wisp with a pirate style. Has an eyepatch, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
2,Jolly Specter,"A cute cartoon ghost named Jolly Specter with a pirate style. Has a scarf, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
3,Treasure Puff,"A cute cartoon ghost named Treasure Puff with a pirate style. Has a backpack, excited expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
4,Plank Walker,"A cute cartoon ghost named Plank Walker with a pirate style. Has a top hat, mischievous expression, and stripes pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
5,Seafaring Glow,"A cute cartoon ghost named Seafaring Glow with a pirate style. Has a lantern, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
6,Arcane Puff,"A cute cartoon ghost named Arcane Puff with a wizard style. Has a wizard hat, curious expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
7,Mystic Whisper,"A cute cartoon ghost named Mystic Whisper with a wizard style. Has a wizard hat, confident expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
8,Spellbound Spirit,"A cute cartoon ghost named Spellbound Spirit with a wizard style. Has no accessory, determined expression, and swirls pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
9,Enchanted Drift,"A cute cartoon ghost named Enchanted Drift with a wizard style. Has no accessory, proud expression, and crystals pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
10,Potion Phantom,"A cute cartoon ghost named Potion Phantom with a wizard style. Has no accessory, excited expression, and clouds pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
11,Royal Gleam,"A cute cartoon ghost named Royal Gleam with a royal style. Has a crown, proud expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
12,Regal Glow,"A cute cartoon ghost named Regal Glow with a royal style. Has a crown, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
13,Majestic Wisp,"A cute cartoon ghost named Majestic Wisp with a royal style. Has a crown, confident expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
14,Noble Specter,"A cute cartoon ghost named Noble Specter with a royal style. Has a top hat, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
15,Throne Spirit,"A cute cartoon ghost named Throne Spirit with a royal style. Has no accessory, determined expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
16,Circuit Boo,"A cute cartoon ghost named Circuit Boo with a robot style. Has an antenna, excited expression, and gears pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
17,Metal Phantom,"A cute cartoon ghost named Metal Phantom with a robot style. Has an antenna, determined expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
18,Cyber Glow,"A cute cartoon ghost named Cyber Glow with a robot style. Has headphones, curious expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
19,Powered Wisp,"A cute cartoon ghost named Powered Wisp with a robot style. Has a backpack, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
20,Spark Spirit,"A cute cartoon ghost named Spark Spirit with a robot style. Has no accessory, confident expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
21,Shadow Blade,"A cute cartoon ghost named Shadow Blade with a ninja style. Has a backpack, mischievous expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
22,Quickstep Puff,"A cute cartoon ghost named Quickstep Puff with a ninja style. Has no accessory, determined expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
23,Silent Phantom,"A cute cartoon ghost named Silent Phantom with a ninja style. Has a scarf, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
24,Swift Whisper,"A cute cartoon ghost named Swift Whisper with a ninja style. Has no accessory, excited expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
25,Stealthy Glow,"A cute cartoon ghost named Stealthy Glow with a ninja style. Has headphones, curious expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
26,Honorable Wisp,"A cute cartoon ghost named Honorable Wisp with a samurai style. Has no accessory, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
27,Blade Spirit,"A cute cartoon ghost named Blade Spirit with a samurai style. Has no accessory, determined expression, and stripes pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
28,Warrior Phantom,"A cute cartoon ghost named Warrior Phantom with a samurai style. Has no accessory, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
29,Valor Glow,"A cute cartoon ghost named Valor Glow with a samurai style. Has no accessory, excited expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
30,Steel Specter,"A cute cartoon ghost named Steel Specter with a samurai style. Has a cape, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
31,Frost Flicker,"A cute cartoon ghost named Frost Flicker with a frost style. Has no accessory, sleepy expression, and snowflakes pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
32,Ice Whisper,"A cute cartoon ghost named Ice Whisper with a frost style. Has no accessory, relaxed expression, and snowflakes pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
33,Chill Spirit,"A cute cartoon ghost named Chill Spirit with a frost style. Has no accessory, happy expression, and crystals pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
34,Glacier Puff,"A cute cartoon ghost named Glacier Puff with a frost style. Has no accessory, curious expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
35,Blizzard Glow,"A cute cartoon ghost named Blizzard Glow with a frost style. Has no accessory, excited expression, and snowflakes pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
36,Candy Floof,"A cute cartoon ghost named Candy Floof with a candy style. Has no accessory, happy expression, and hearts pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
37,Sweet Puff,"A cute cartoon ghost named Sweet Puff with a candy style. Has a flower, excited expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
38,Sugar Wisp,"A cute cartoon ghost named Sugar Wisp with a candy style. Has no accessory, mischievous expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
39,Lollipop Spirit,"A cute cartoon ghost named Lollipop Spirit with a candy style. Has no accessory, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
40,Gummy Phantom,"A cute cartoon ghost named Gummy Phantom with a candy style. Has no accessory, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
41,Storm Streak,"A cute cartoon ghost named Storm Streak with a storm style. Has an antenna, determined expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
42,Thunder Wisp,"A cute cartoon ghost named Thunder Wisp with a storm style. Has no accessory, excited expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
43,Cyclone Puff,"A cute cartoon ghost named Cyclone Puff with a storm style. Has no accessory, confident expression, and clouds pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
44,Lightning Phantom,"A cute cartoon ghost named Lightning Phantom with a storm style. Has no accessory, mischievous expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
45,Tempest Spirit,"A cute cartoon ghost named Tempest Spirit with a storm style. Has no accessory, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
46,Dragon Spirit,"A cute cartoon ghost named Dragon Spirit with a dragon style. Has no accessory, determined expression, and flames pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
47,Dragon's Breath,"A cute cartoon ghost named Dragon's Breath with a dragon style. Has no accessory, proud expression, and flames pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
48,Flame Drake,"A cute cartoon ghost named Flame Drake with a dragon style. Has no accessory, confident expression, and flames pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
49,Ember Drake,"A cute cartoon ghost named Ember Drake with a dragon style. Has no accessory, excited expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
50,Inferno Glow,"A cute cartoon ghost named Inferno Glow with a fire style. Has no accessory, determined expression, and flames pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
51,Fire Wisp,"A cute cartoon ghost named Fire Wisp with a fire style. Has no accessory, excited expression, and flames pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
52,Blaze Spirit,"A cute cartoon ghost named Blaze Spirit with a fire style. Has no accessory, confident expression, and flames pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
53,Spark Phantom,"A cute cartoon ghost named Spark Phantom with a fire style. Has no accessory, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
54,Spark Drift,"A cute cartoon ghost named Spark Drift with a fire style. Has no accessory, mischievous expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
55,Crystal Wink,"A cute cartoon ghost named Crystal Wink with a crystal style. Has a crown, curious expression, and crystals pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
56,Gem Spirit,"A cute cartoon ghost named Gem Spirit with a crystal style. Has no accessory, excited expression, and crystals pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
57,Sparkle Phantom,"A cute cartoon ghost named Sparkle Phantom with a crystal style. Has no accessory, happy expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
58,Diamond Glow,"A cute cartoon ghost named Diamond Glow with a crystal style. Has no accessory, confident expression, and crystals pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
59,Luminous Puff,"A cute cartoon ghost named Luminous Puff with a crystal style. Has no accessory, relaxed expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
60,Ocean Drift,"A cute cartoon ghost named Ocean Drift with an ocean style. Has no accessory, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
61,Wave Whisper,"A cute cartoon ghost named Wave Whisper with an ocean style. Has no accessory, happy expression, and clouds pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
62,Deep Phantom,"A cute cartoon ghost named Deep Phantom with an ocean style. Has no accessory, curious expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
63,Coral Spirit,"A cute cartoon ghost named Coral Spirit with an ocean style. Has a flower, excited expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
64,Seafoam Glow,"A cute cartoon ghost named Seafoam Glow with an ocean style. Has no accessory, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
65,Jungle Drift,"A cute cartoon ghost named Jungle Drift with a jungle style. Has a leaf crown, determined expression, and leaves pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
66,Vine Spirit,"A cute cartoon ghost named Vine Spirit with a jungle style. Has a flower, excited expression, and leaves pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
67,Tropical Puff,"A cute cartoon ghost named Tropical Puff with a jungle style. Has a leaf crown, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
68,Forest Phantom,"A cute cartoon ghost named Forest Phantom with a jungle style. Has no accessory, curious expression, and leaves pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
69,Emerald Glow,"A cute cartoon ghost named Emerald Glow with a jungle style. Has no accessory, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
70,Steampunk Gear,"A cute cartoon ghost named Steampunk Gear with a steampunk style. Has a top hat, determined expression, and gears pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
71,Quantum Burst,"A cute cartoon ghost named Quantum Burst with a cyber style. Has headphones, excited expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
72,Digital Phantom,"A cute cartoon ghost named Digital Phantom with a cyber style. Has glasses, determined expression, and gears pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
73,Neon Wisp,"A cute cartoon ghost named Neon Wisp with a cyber style. Has an antenna, confident expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
74,Silicon Spirit,"A cute cartoon ghost named Silicon Spirit with a cyber style. Has no accessory, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
75,Hologram Glow,"A cute cartoon ghost named Hologram Glow with a cyber style. Has no accessory, curious expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
76,Star Spirit,"A cute cartoon ghost named Star Spirit with a space style. Has a star crown, proud expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
77,Cosmic Phantom,"A cute cartoon ghost named Cosmic Phantom with a space style. Has no accessory, excited expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
78,Nebula Wisp,"A cute cartoon ghost named Nebula Wisp with a space style. Has an antenna, confident expression, and swirls pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
79,Galaxy Glow,"A cute cartoon ghost named Galaxy Glow with a space style. Has no accessory, curious expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
80,Pulsar Puff,"A cute cartoon ghost named Pulsar Puff with a space style. Has no accessory, determined expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
81,Aviator Ace,"A cute cartoon ghost named Aviator Ace with an astronaut style. Has no accessory, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
82,Space Explorer,"A cute cartoon ghost named Space Explorer with an astronaut style. Has a backpack, excited expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
83,Lunar Phantom,"A cute cartoon ghost named Lunar Phantom with an astronaut style. Has no accessory, curious expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
84,Starbound Spirit,"A cute cartoon ghost named Starbound Spirit with an astronaut style. Has no accessory, proud expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
85,Orbit Glow,"A cute cartoon ghost named Orbit Glow with an astronaut style. Has an antenna, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
86,Maestro Phantom,"A cute cartoon ghost named Maestro Phantom with a musician style. Has no accessory, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
87,Melody Wisp,"A cute cartoon ghost named Melody Wisp with a musician style. Has headphones, excited expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
88,Harmony Spirit,"A cute cartoon ghost named Harmony Spirit with a musician style. Has no accessory, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
89,Rhythm Glow,"A cute cartoon ghost named Rhythm Glow with a musician style. Has no accessory, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
90,Symphony Puff,"A cute cartoon ghost named Symphony Puff with a musician style. Has no accessory, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
91,Crown Specter,"A cute cartoon ghost named Crown Specter with a royal style. Has a crown, proud expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
92,Sovereign Phantom,"A cute cartoon ghost named Sovereign Phantom with a royal style. Has a crown, determined expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
93,Dynasty Spirit,"A cute cartoon ghost named Dynasty Spirit with a royal style. Has a top hat, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
94,Empress Wisp,"A cute cartoon ghost named Empress Wisp with a royal style. Has no accessory, happy expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
95,Kingbright Glow,"A cute cartoon ghost named Kingbright Glow with a royal style. Has a crown, excited expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
96,Celestial Phantom,"A cute cartoon ghost named Celestial Phantom with an angel style. Has a star crown, proud expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
97,Divine Spirit,"A cute cartoon ghost named Divine Spirit with an angel style. Has no accessory, confident expression, and clouds pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
98,Seraph Wisp,"A cute cartoon ghost named Seraph Wisp with an angel style. Has no accessory, happy expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
99,Halo Glow,"A cute cartoon ghost named Halo Glow with an angel style. Has no accessory, determined expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
100,Blessed Puff,"A cute cartoon ghost named Blessed Puff with an angel style. Has no accessory, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
101,Zenith Specter,"A cute cartoon ghost named Zenith Specter with a knight style. Has a cape, determined expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
102,Valiant Phantom,"A cute cartoon ghost named Valiant Phantom with a knight style. Has no accessory, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
103,Crusade Spirit,"A cute cartoon ghost named Crusade Spirit with a knight style. Has no accessory, confident expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
104,Guardian Wisp,"A cute cartoon ghost named Guardian Wisp with a knight style. Has no accessory, excited expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
105,Armor Glow,"A cute cartoon ghost named Armor Glow with a knight style. Has no accessory, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
106,Eternal Phantom,"A cute cartoon ghost named Eternal Phantom with a legendary style. Has a crown, determined expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
107,Mythic Wisp,"A cute cartoon ghost named Mythic Wisp with a legendary style. Has no accessory, proud expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
108,Transcendent Spirit,"A cute cartoon ghost named Transcendent Spirit with a legendary style. Has no accessory, confident expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
109,Omniscient Glow,"A cute cartoon ghost named Omniscient Glow with a legendary style. Has no accessory, happy expression, and clouds pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
110,Apex Phantom,"A cute cartoon ghost named Apex Phantom with a legendary style. Has no accessory, excited expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
111,Timeless Specter,"A cute cartoon ghost named Timeless Specter with a legendary style. Has no accessory, relaxed expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
112,Moonlit Echo,"A cute cartoon ghost named Moonlit Echo with a legendary style. Has no accessory, sleepy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
113,Starforge Wisp,"A cute cartoon ghost named Starforge Wisp with a legendary style. Has no accessory, curious expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
114,Infinity Glow,"A cute cartoon ghost named Infinity Glow with a legendary style. Has no accessory, mischievous expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
115,Prism Phantom,"A cute cartoon ghost named Prism Phantom with a legendary style. Has no accessory, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
116,Infernal Crown,"A cute cartoon ghost named Infernal Crown with a corrupted style. Has a crown, mischievous expression, and flames pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
117,Void Phantom,"A cute cartoon ghost named Void Phantom with a corrupted style. Has no accessory, determined expression, and swirls pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
118,Abyssal Spirit,"A cute cartoon ghost named Abyssal Spirit with a corrupted style. Has no accessory, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
119,Shadowed Wisp,"A cute cartoon ghost named Shadowed Wisp with a corrupted style. Has no accessory, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
120,Corrupted Glow,"A cute cartoon ghost named Corrupted Glow with a corrupted style. Has no accessory, excited expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."